path,label,keep,group_id,sha256,phash,width,height,mode,format,bytes,fold
Potato___Early_blight/001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,Potato___Early_blight,True,0,100079e00ccf046c761599235a1a73db03980fa4847b2a2fe8ea4092bca6bf5c,ba84a1def54083f9,256,256,RGB,JPEG,20183,1
Potato___Early_blight/002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170.JPG,Potato___Early_blight,True,1,f82d5fed95db82eb2863eb2b236c3d4f0285a20966bd2048fdf12f97d3f4aa5a,a984f5cbc1cce364,256,256,RGB,JPEG,17224,4
Potato___Early_blight/009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885.JPG,Potato___Early_blight,True,2,15ac0f0ace743361f4645cbb5bc5ff7fb44f72e2dcddbd7b2a5c20268512ddc5,bf97a0349a498ccb,256,256,RGB,JPEG,21507,2
Potato___Early_blight/00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,Potato___Early_blight,True,3,c4949cee5155170fc987d2080323c25b9ef7190770e7df2b4ae7d0c450e7fdb8,a894975ac86de572,256,256,RGB,JPEG,17949,3
Potato___Early_blight/0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015.JPG,Potato___Early_blight,True,4,cc5b1868b8acb1e0f0c140e37a1fedf61c96fd4303d8259f90ce7563ca17f845,aae2a58d9999d233,256,256,RGB,JPEG,19165,1
Potato___Early_blight/02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,Potato___Early_blight,True,5,a5b86abe59b616942cf0855d472a6f1b753b3d5d95812f3ff6935b6145a93692,8bfcb5c1d00f0a9e,256,256,RGB,JPEG,18469,4
Potato___Early_blight/0267d4ca-522e-4ca0-b1a2-ce925e5b54a2___RS_Early.B 7020.JPG,Potato___Early_blight,True,6,3fdce534a556378a718e002d842f785012d86b86bbd36a16fb1813cd1350b92c,de72e2ca9daa1225,256,256,RGB,JPEG,19289,2
Potato___Early_blight/028f9b73-142f-499a-9c7b-d7c1ed5e5506___RS_Early.B 8546.JPG,Potato___Early_blight,True,7,cffafea78a90fc3e6bd419a36942a387720f8f649dedd5c8fc00bf9bdc6ccd7c,aa15ff17c86a8570,256,256,RGB,JPEG,19673,3
Potato___Early_blight/034959c1-f1e8-4a79-a6d5-3c1d14efa2f3___RS_Early.B 7136.JPG,Potato___Early_blight,True,8,83b0d685bb113b8ab25717da3b2ecdd8fb8775e7160ec698267d89a7ef93e8c4,d5aa8a9cc7d4ca43,256,256,RGB,JPEG,21057,0
Potato___Early_blight/03b0d3c1-b5b0-48f4-98aa-f8904670290f___RS_Early.B 7051.JPG,Potato___Early_blight,True,9,4951cb91537bcc5a40a5a9e0d863e6b574fb72cae925ae866c9b3680effad183,8a1c3e1eed4aa473,256,256,RGB,JPEG,19784,1
Potato___Early_blight/042135e2-e126-4900-9212-d42d900b8125___RS_Early.B 8791.JPG,Potato___Early_blight,True,10,6b15a625b4adf563454f9e244615146f3bed9f9aedc2feb48de8563b381578a9,abe8a4c7949d129d,256,256,RGB,JPEG,18355,3
Potato___Early_blight/044c3abc-0bc9-45fb-8fd5-094aeb605f90___RS_Early.B 8044.JPG,Potato___Early_blight,True,11,d2a249bcb5d271e3e9f6c4299d513323ab2c844c066baf67bc5e78f32b06fb0b,a281c4d38beadd47,256,256,RGB,JPEG,21158,2
Potato___Early_blight/048d18ae-98b1-484d-97da-5a0e69b9ebc1___RS_Early.B 6845.JPG,Potato___Early_blight,True,12,95e7edd57a44cdedb38851855753346dd2863b10b032619bfebd1383b3404a69,aaf035863fc2384f,256,256,RGB,JPEG,21384,4
Potato___Early_blight/04c8e6b9-7710-4cdd-b259-2d78b15d1036___RS_Early.B 7066.JPG,Potato___Early_blight,True,13,197659af8b55b839ea359dede0b9af55020d9128d5603a2502e97bbc280ca0de,ef60c069cf0fcc58,256,256,RGB,JPEG,18469,4
Potato___Early_blight/04ee51b6-07e2-4182-84f8-46b22c8938a2___RS_Early.B 8091.JPG,Potato___Early_blight,True,14,19e8b1d0843a3cc1b1f2e74a0067729369b46257f84bcee6f1c7f6c50b5b1de8,eaa3e085a55eb54a,256,256,RGB,JPEG,19699,0
Potato___Early_blight/04fd2a46-ddd4-4b0b-8f19-5ecca482a7d5___RS_Early.B 7273.JPG,Potato___Early_blight,True,15,42865db9829cdf51e244a5dace2161d8fd7e9572ed8e7991b02c0681e454384a,aa1db556ca69c561,256,256,RGB,JPEG,20483,1
Potato___Early_blight/05c35093-11b8-4cd0-b67a-148859754440___RS_Early.B 8939.JPG,Potato___Early_blight,True,16,150c26fb8f80c0d15527c75a9f767961d8d7293cc8ddebaf850b0db4ab8d7d70,fa4c7589363b8532,256,256,RGB,JPEG,21189,2
Potato___Early_blight/0604174e-3018-4faa-9975-0be32d2c0789___RS_Early.B 7123.JPG,Potato___Early_blight,True,17,b2a9eeba8d90be61fe886c92ff7725afd8430b93df57d66b5c9ea71bb786ffab,be9d85b4da42c949,256,256,RGB,JPEG,21124,3
Potato___Early_blight/060fd5a7-1606-4a59-895b-604c90d6b414___RS_Early.B 7205.JPG,Potato___Early_blight,True,18,a92fa598bad2bc35d3db078408d75ff8a294152c17fd6fe4df7984153f89c88a,8ab5b548f40bc13f,256,256,RGB,JPEG,21165,2
Potato___Early_blight/065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,Potato___Early_blight,True,19,93154753245a355d7ca24d77380bf0d3fb4f22eb4023f1dcedcb6372d51965ca,ae8ca495c39e97c8,256,256,RGB,JPEG,19683,0
Potato___Early_blight/06ac6596-8d65-46dd-a343-a2209f3480e4___RS_Early.B 6921.JPG,Potato___Early_blight,True,20,9cd3cb9e45a9d17b9d1fd53191119d0d4cdaf570108c8dd996a1de0773b672d2,f733b8dcd0c08e49,256,256,RGB,JPEG,22272,1
Potato___Early_blight/06d9fcc9-4eea-4736-8392-5e483e2e948d___RS_Early.B 7411.JPG,Potato___Early_blight,True,21,d0899e772e3791ab03df19532b07cadcc5b729f8772987a86303fdf725c23eda,aa99fd12c079cb61,256,256,RGB,JPEG,21381,4
Potato___Early_blight/07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.JPG,Potato___Early_blight,True,22,d5718adfc76f4bf302928a92684b919a64dd0855ef4090fe6024e41b8949efea,aec26dc22dc91ac7,256,256,RGB,JPEG,19877,3
Potato___Early_blight/07baabd8-e118-47dd-9d8d-132d4347836a___RS_Early.B 8555.JPG,Potato___Early_blight,True,23,4a3cd60d0b086fac5607b83d994d7ea576ad71ee7581d65d974cffe166160e34,82fdbfc0f201cb07,256,256,RGB,JPEG,20407,0
Potato___Early_blight/07d777f8-2c5a-48da-935e-f17c572b1e6e___RS_Early.B 7880.JPG,Potato___Early_blight,True,24,ccaabe5a95025cee2a337e1acba6b84b78f7c04df71aa8e2325603a88aa24bc3,ff68a80b852fd415,256,256,RGB,JPEG,21067,4
Potato___Early_blight/08029ccc-387e-4be6-9389-04f7b82fdb2a___RS_Early.B 9130.JPG,Potato___Early_blight,True,25,de318aa411a0eda395435e8ee4ee43a58618b6cb9af66fe639e1e032241afb24,d9d0ea8aa5b6b429,256,256,RGB,JPEG,20456,1
Potato___Early_blight/08194ca3-f0b2-4aaa-8df8-5ec5ddc6696a___RS_Early.B 8151.JPG,Potato___Early_blight,True,26,65c938b05771196583ef1953f642d2017498782935d0dd41ca6c7f6ee3b155db,aa4ef06b636f4864,256,256,RGB,JPEG,21019,2
Potato___Early_blight/08392b44-ecc6-4f38-8566-361b552cfe21___RS_Early.B 7393.JPG,Potato___Early_blight,True,27,5b5b04b3f1a185cb3fa460fdffff924a98be56f37615ef55a721cbacbcb98eea,ffc0e00f91338ee4,256,256,RGB,JPEG,18371,3
Potato___Early_blight/0898bffc-57aa-4fdb-92d1-fd6a03d2a011___RS_Early.B 6946.JPG,Potato___Early_blight,True,28,7e552eebae615039a4dbdf6b9bbbf2a0fa95c008799201d6ab9ff2198e53e26d,abdcf520c817832f,256,256,RGB,JPEG,21852,1
Potato___Early_blight/089fb289-4bea-48b6-a29a-3a1d268d9dd3___RS_Early.B 8081.JPG,Potato___Early_blight,True,29,20c6789a26611537a5f6c83a6e84ee013da520040b137cdf39790c37ff364589,ead2258aa5cb14ed,256,256,RGB,JPEG,20945,2
Potato___Early_blight/08a892eb-19cc-45ea-babc-181b98f89238___RS_Early.B 7367.JPG,Potato___Early_blight,True,30,ce977c82a31496caab1e936a322ebd8f923ed87a1956a3c2d9541257639c5b10,f7d0e04b9ab48b32,256,256,RGB,JPEG,18861,4
Potato___Early_blight/08bbd7f1-169d-4e38-946f-8d91589b263e___RS_Early.B 7106.JPG,Potato___Early_blight,True,31,215d6d41078e3c2bb36515d9f22ef78c5d714f45592d080cac620241dae9d98b,aac863ca169db0b7,256,256,RGB,JPEG,18248,0
Potato___Early_blight/08cf1add-91f8-41ea-bc13-54e7d1cb6da0___RS_Early.B 6865.JPG,Potato___Early_blight,True,32,5891980007ba36a93d78f723edbbe50dd10753f35a63f5bb83d65c59937ae124,a2d234cdb68dfa44,256,256,RGB,JPEG,23487,3
Potato___Early_blight/094fbf4c-da00-4037-82af-03e712d8db47___RS_Early.B 6908.JPG,Potato___Early_blight,True,33,62bcaa73e06c9c37c78f2965ef686772d61940ccabf8e114c676362424dda11b,82673fd0d81ac16f,256,256,RGB,JPEG,21756,0
Potato___Early_blight/096a2c48-104c-4570-9e34-8dd60aa5ebcf___RS_Early.B 6979.JPG,Potato___Early_blight,True,34,60862cf69e2e83619848e94315a04d0a9a0bc6de401e1893f47d66a556cc1c71,aee825d1379af209,256,256,RGB,JPEG,17269,4
Potato___Early_blight/096f6928-24dd-4efd-acc6-b8246318676c___RS_Early.B 8970.JPG,Potato___Early_blight,True,35,f5e02958aaa73a1ee79d07df2485f377e797d11a1625a21a9d63208edb50f8bf,f628bb9d4018b73a,256,256,RGB,JPEG,23729,1
Potato___Early_blight/09ab9573-90d5-4001-9b74-14551935deef___RS_Early.B 7603.JPG,Potato___Early_blight,True,36,53d72392831042013092dc9beb8e09d60d2983e4ac48d70ed248c171b7144c4b,8876e68895c7d03f,256,256,RGB,JPEG,16844,2
Potato___Early_blight/0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early.B 7575.JPG,Potato___Early_blight,True,37,9900b6ae92d623736e9947f4222ca512396e70496b6e68db8725e0b5f5e900a2,fcc134cf1a64d913,256,256,RGB,JPEG,18349,3
Potato___Early_blight/0a47f32c-1724-4c8d-bfe4-986cedd3587b___RS_Early.B 8001.JPG,Potato___Early_blight,True,38,a9717e772970c313d2d61d30986597f3d1b8dc783d4de3656d3f2a7db03a80e4,eee2a4c2859f9698,256,256,RGB,JPEG,17231,0
Potato___Early_blight/0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,Potato___Early_blight,True,39,621f98780294e0dd261fd10713580be4a2128af881bbd0fb7829fa5c5325de69,b28d3f56b81e4538,256,256,RGB,JPEG,21120,3
Potato___Early_blight/0a79700b-f834-41f5-ae51-6ceda6f67a48___RS_Early.B 8951.JPG,Potato___Early_blight,True,40,781f0b62e418580360932ea7b908e7e2b589675b805bee5ced2feb38953b01c4,faac80666752359b,256,256,RGB,JPEG,22534,4
Potato___Early_blight/0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,Potato___Early_blight,True,41,9a7d79185c2b399771cf3e24d00749c6b1ea0ddfcce5f794884d47114a568a42,ea2d855391fad252,256,256,RGB,JPEG,19344,1
Potato___Early_blight/0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,Potato___Early_blight,True,42,196cd7dbd3f21ad9564b1c2ae8027f68c46d8de5fda94d83888bf15aaf70480f,ff2f80d09cc2f0cc,256,256,RGB,JPEG,15804,2
Potato___Early_blight/0bbb8bce-2020-416b-8bd6-c160c2db9921___RS_Early.B 8386.JPG,Potato___Early_blight,True,43,af8169df3ab28a118690a2bae41f32cefbac439188e333396924036e5bca3663,fec8e2c297c89495,256,256,RGB,JPEG,21208,0
Potato___Early_blight/0c4f6f72-c7a2-42e1-9671-41ab3bf37fe7___RS_Early.B 6752.JPG,Potato___Early_blight,True,44,4cf1528105c07ee9b6a64dc2384d015bd39757251a36e5ccf8c81cfeefff93b7,db8374d4235ae3c8,256,256,RGB,JPEG,22538,2
Potato___Early_blight/0c5b14d9-8b1c-4c39-bb23-1835b5760caa___RS_Early.B 7937.JPG,Potato___Early_blight,True,45,d8abc2c3ff6e17e84cef2b941791ed5e3c57cf8adfdf07c0f078365011ca543e,ff8fc598ca618864,256,256,RGB,JPEG,20306,3
Potato___Early_blight/0caf6a39-3f5f-4201-a4d7-3ea35fdf1303___RS_Early.B 6762.JPG,Potato___Early_blight,True,46,3f476199d25bdfbd79ad299ae5e278522acd667ceaa86ac4819cfc41afc951b5,80997f5bf0fe0360,256,256,RGB,JPEG,21104,1
Potato___Early_blight/0d2325ff-4e3e-44bf-9614-e5ad6c23fc16___RS_Early.B 6797.JPG,Potato___Early_blight,True,47,ffa3a97e9a8474a121e5f4b93e9ec3bb04523d7ccce4749e38dfde2f394b6f36,af91f443d42d8276,256,256,RGB,JPEG,19830,4
Potato___Early_blight/0d2e2971-f1c9-4278-b35c-91dd8a22a64d___RS_Early.B 7581.JPG,Potato___Early_blight,True,48,6bf5f72508830e2f63525da6ae95884ad2c852baf4ceba4f605fc8d94c394b55,c64c28cb93b599b6,256,256,RGB,JPEG,19632,0
Potato___Early_blight/0d987d4a-26bc-4f74-8a16-12f8969dfed8___RS_Early.B 7013.JPG,Potato___Early_blight,True,49,f89990f5645f99c540ceb16c083d1f02f72be7b1903164dfadb6024854bd4ed2,d5d5ab4a94a89ab4,256,256,RGB,JPEG,20055,1
Potato___Early_blight/0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early.B 6692.JPG,Potato___Early_blight,True,50,9ea61c12b464be02e91b0d096ceebf4e181f1733a4965795eec3f75f8ae3e649,cda672d429964d9a,256,256,RGB,JPEG,18398,4
Potato___Early_blight/0ddd62cd-a999-4d58-a8f1-506e1004a595___RS_Early.B 8041.JPG,Potato___Early_blight,True,51,4526ee95dcf4a28db84dc711057cffbc26ca0243ae48868cd4bdc13d70d4b308,afe4b4c6d045ca96,256,256,RGB,JPEG,19295,2
Potato___Early_blight/0e0a1b51-f61c-4934-bc57-a820af1faacb___RS_Early.B 7147.JPG,Potato___Early_blight,True,52,e43f78df32f5a04f38e4e3715e80c206a31283b004d72c5b0c3fed67dddc1c8e,a830ff4bfcfc0038,256,256,RGB,JPEG,19738,3
Potato___Early_blight/0e6b9e09-2bcd-41e0-b001-b80a33a8a78b___RS_Early.B 8694.JPG,Potato___Early_blight,True,53,80383eb860005d2a829e936c31409710805bb039bf68eeb18f132138f3420529,d5f58a8ab4ba2463,256,256,RGB,JPEG,19838,0
Potato___Early_blight/0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B 8504.JPG,Potato___Early_blight,True,54,2338cd1153ebbcecc9618558ddcabd028caa7277aabb60407ffadd80f817171b,dc1ea2b1e0e5d4c6,256,256,RGB,JPEG,17601,3
